	0	1	2	3	4	5	6	7	8	9
Crime	Singapore_11798.txt	Crime_9846.txt	Crime_9745.txt	Crime_14192.txt	Crime_14967.txt	Singapore_14974.txt	Crime_12738.txt	Singapore_12749.txt	Crime_15024.txt	Crime_13136.txt
Criminal_Investigations	World_11520.txt	Crime_12015.txt	Crime_9631.txt	Crime_13600.txt	Crime_9325.txt	Asia_15624.txt	Crime_10760.txt	World_9673.txt	Crime_10591.txt	Crime_11019.txt
Domestic_Life	Singapore_12831.txt	Singapore_12469.txt	Singapore_10156.txt	Asia_15570.txt	Singapore_12966.txt	Singapore_12830.txt	Singapore_9210.txt	Asia_10152.txt	Asia_10200.txt	Singapore_14738.txt
Football	Sports_15382.txt	Sports_14614.txt	Sports_13492.txt	Sports_14047.txt	Sports_13830.txt	Sports_14613.txt	Sports_13277.txt	Sports_15548.txt	Sports_10688.txt	Sports_12668.txt
Global_Economy	Asia_13669.txt	Asia_16274.txt	World_16143.txt	World_15097.txt	World_12854.txt	Asia_11813.txt	World_9859.txt	Science_15413.txt	Singapore_11087.txt	Asia_12154.txt
Information_Technology	Science_10920.txt	Science_9884.txt	Science_14066.txt	Science_9806.txt	Science_12223.txt	Science_11957.txt	Science_13774.txt	Science_15136.txt	Science_15189.txt	Science_10736.txt
Law_and_Order	Crime_12362.txt	World_11869.txt	Asia_14282.txt	World_11251.txt	Crime_11185.txt	World_11189.txt	Crime_10971.txt	Asia_11063.txt	World_10433.txt	World_11685.txt
Military_and_Security	Asia_10784.txt	Asia_13884.txt	World_13921.txt	Asia_11554.txt	World_14607.txt	Asia_13985.txt	World_9823.txt	Asia_14583.txt	Asia_13102.txt	Asia_14089.txt
Movie_Industry	Showbiz_16016.txt	Showbiz_14165.txt	Showbiz_14236.txt	Showbiz_14983.txt	Showbiz_12948.txt	Showbiz_16265.txt	Showbiz_14912.txt	Showbiz_15719.txt	Singapore_15831.txt	Showbiz_10973.txt
Natural_Disasters	Asia_15404.txt	Asia_12732.txt	Asia_16239.txt	Asia_10376.txt	Asia_14953.txt	Asia_10356.txt	Asia_15418.txt	Asia_9179.txt	Asia_11849.txt	Asia_13705.txt
Olympics	Sports_13324.txt	Sports_9888.txt	Sports_10162.txt	Sports_12986.txt	Sports_13583.txt	Sports_15442.txt	Sports_14111.txt	Sports_11926.txt	Sports_12414.txt	Sports_11927.txt
Performance_Arts	Showbiz_15578.txt	Showbiz_14058.txt	Showbiz_15931.txt	Showbiz_9816.txt	Showbiz_9997.txt	Showbiz_13013.txt	Showbiz_9963.txt	Showbiz_13511.txt	Showbiz_11485.txt	Showbiz_10519.txt
Politics	Asia_15767.txt	World_12273.txt	World_15561.txt	World_11784.txt	Asia_15458.txt	World_11190.txt	World_15365.txt	Asia_15760.txt	World_15342.txt	World_14712.txt
